JSON,CUTOFF,QUERY_ID,QUERY_TIME_SECONDS
bestbuy_large_record_(1GB),0,1,0.00954
bestbuy_large_record_(1GB),0,2,0.26674
bestbuy_large_record_(1GB),0,3,0.32806
bestbuy_large_record_(1GB),0,4,0.26628
bestbuy_large_record_(1GB),0,5,0.27269
bestbuy_large_record_(1GB),0,6,0.54463
bestbuy_large_record_(1GB),0,7,0.62981
bestbuy_large_record_(1GB),0,8,0.30089
bestbuy_large_record_(1GB),0,9,0.44227
bestbuy_large_record_(1GB),0,10,0.36862
bestbuy_large_record_(1GB),0,11,1.01362
bestbuy_large_record_(1GB),0,12,1.04823
bestbuy_large_record_(1GB),0,13,1.07235
bestbuy_large_record_(1GB),0,14,0.35
bestbuy_large_record_(1GB),0,15,1.05188
bestbuy_large_record_(1GB),0,16,0.13166
bestbuy_large_record_(1GB),64,1,0.0116
bestbuy_large_record_(1GB),64,2,0.25675
bestbuy_large_record_(1GB),64,3,0.32819
bestbuy_large_record_(1GB),64,4,0.26456
bestbuy_large_record_(1GB),64,5,0.27006
bestbuy_large_record_(1GB),64,6,0.53105
bestbuy_large_record_(1GB),64,7,0.61374
bestbuy_large_record_(1GB),64,8,0.2922
bestbuy_large_record_(1GB),64,9,0.365
bestbuy_large_record_(1GB),64,10,0.3305
bestbuy_large_record_(1GB),64,11,0.9661
bestbuy_large_record_(1GB),64,12,0.9911
bestbuy_large_record_(1GB),64,13,0.99538
bestbuy_large_record_(1GB),64,14,0.31887
bestbuy_large_record_(1GB),64,15,0.98993
bestbuy_large_record_(1GB),64,16,0.12926
bestbuy_large_record_(1GB),128,1,0.01186
bestbuy_large_record_(1GB),128,2,0.25117
bestbuy_large_record_(1GB),128,3,0.30584
bestbuy_large_record_(1GB),128,4,0.24059
bestbuy_large_record_(1GB),128,5,0.24252
bestbuy_large_record_(1GB),128,6,0.50615
bestbuy_large_record_(1GB),128,7,0.59148
bestbuy_large_record_(1GB),128,8,0.25482
bestbuy_large_record_(1GB),128,9,0.33879
bestbuy_large_record_(1GB),128,10,0.30543
bestbuy_large_record_(1GB),128,11,0.94226
bestbuy_large_record_(1GB),128,12,0.9562
bestbuy_large_record_(1GB),128,13,0.971
bestbuy_large_record_(1GB),128,14,0.29736
bestbuy_large_record_(1GB),128,15,0.96706
bestbuy_large_record_(1GB),128,16,0.12937
bestbuy_large_record_(1GB),512,1,0.01148
bestbuy_large_record_(1GB),512,2,0.21303
bestbuy_large_record_(1GB),512,3,0.30798
bestbuy_large_record_(1GB),512,4,0.2038
bestbuy_large_record_(1GB),512,5,0.20847
bestbuy_large_record_(1GB),512,6,0.51336
bestbuy_large_record_(1GB),512,7,0.59809
bestbuy_large_record_(1GB),512,8,0.25888
bestbuy_large_record_(1GB),512,9,0.34085
bestbuy_large_record_(1GB),512,10,0.30813
bestbuy_large_record_(1GB),512,11,0.90613
bestbuy_large_record_(1GB),512,12,0.9339
bestbuy_large_record_(1GB),512,13,0.95249
bestbuy_large_record_(1GB),512,14,0.28482
bestbuy_large_record_(1GB),512,15,0.95131
bestbuy_large_record_(1GB),512,16,0.12869
bestbuy_large_record_(1GB),8192,1,0.01171
bestbuy_large_record_(1GB),8192,2,0.25173
bestbuy_large_record_(1GB),8192,3,0.36109
bestbuy_large_record_(1GB),8192,4,0.23811
bestbuy_large_record_(1GB),8192,5,0.24135
bestbuy_large_record_(1GB),8192,6,0.53306
bestbuy_large_record_(1GB),8192,7,0.60585
bestbuy_large_record_(1GB),8192,8,0.26691
bestbuy_large_record_(1GB),8192,9,0.33344
bestbuy_large_record_(1GB),8192,10,0.30139
bestbuy_large_record_(1GB),8192,11,0.90662
bestbuy_large_record_(1GB),8192,12,0.9342
bestbuy_large_record_(1GB),8192,13,0.95198
bestbuy_large_record_(1GB),8192,14,0.28334
bestbuy_large_record_(1GB),8192,15,0.95078
bestbuy_large_record_(1GB),8192,16,0.1294
