JSON,CUTOFF,QUERY_ID,QUERY_TIME_SECONDS
crossref1_(551MB),0,1,0.00498
crossref1_(551MB),0,2,0.03531
crossref1_(551MB),0,3,0.05507
crossref1_(551MB),0,4,0.05781
crossref1_(551MB),0,5,0.04811
crossref1_(551MB),0,6,0.10783
crossref1_(551MB),0,7,0.17029
crossref1_(551MB),0,8,0.17453
crossref1_(551MB),0,9,0.17946
crossref1_(551MB),0,10,0.15382
crossref1_(551MB),0,11,0.23628
crossref1_(551MB),0,12,0.22141
crossref1_(551MB),0,13,0.24245
crossref1_(551MB),0,14,0.48504
crossref1_(551MB),0,15,0.49656
crossref1_(551MB),0,16,0.5079
crossref1_(551MB),0,17,0.53883
crossref1_(551MB),0,18,0.49885
crossref1_(551MB),0,19,0.54083
crossref1_(551MB),0,20,0.33257
crossref1_(551MB),0,21,0.10278
crossref1_(551MB),64,1,0.00624
crossref1_(551MB),64,2,0.04571
crossref1_(551MB),64,3,0.0613
crossref1_(551MB),64,4,0.06351
crossref1_(551MB),64,5,0.05824
crossref1_(551MB),64,6,0.1141
crossref1_(551MB),64,7,0.17628
crossref1_(551MB),64,8,0.17771
crossref1_(551MB),64,9,0.18019
crossref1_(551MB),64,10,0.15632
crossref1_(551MB),64,11,0.23058
crossref1_(551MB),64,12,0.21591
crossref1_(551MB),64,13,0.23637
crossref1_(551MB),64,14,0.51596
crossref1_(551MB),64,15,0.50058
crossref1_(551MB),64,16,0.51229
crossref1_(551MB),64,17,0.51068
crossref1_(551MB),64,18,0.47887
crossref1_(551MB),64,19,0.49705
crossref1_(551MB),64,20,0.30543
crossref1_(551MB),64,21,0.09909
crossref1_(551MB),128,1,0.00618
crossref1_(551MB),128,2,0.04722
crossref1_(551MB),128,3,0.06135
crossref1_(551MB),128,4,0.06367
crossref1_(551MB),128,5,0.05915
crossref1_(551MB),128,6,0.10942
crossref1_(551MB),128,7,0.16578
crossref1_(551MB),128,8,0.1672
crossref1_(551MB),128,9,0.16974
crossref1_(551MB),128,10,0.14659
crossref1_(551MB),128,11,0.21438
crossref1_(551MB),128,12,0.20414
crossref1_(551MB),128,13,0.22062
crossref1_(551MB),128,14,0.48178
crossref1_(551MB),128,15,0.48088
crossref1_(551MB),128,16,0.48175
crossref1_(551MB),128,17,0.49063
crossref1_(551MB),128,18,0.46175
crossref1_(551MB),128,19,0.47761
crossref1_(551MB),128,20,0.28782
crossref1_(551MB),128,21,0.09932
crossref1_(551MB),512,1,0.00588
crossref1_(551MB),512,2,0.05531
crossref1_(551MB),512,3,0.0652
crossref1_(551MB),512,4,0.06639
crossref1_(551MB),512,5,0.06357
crossref1_(551MB),512,6,0.10289
crossref1_(551MB),512,7,0.14944
crossref1_(551MB),512,8,0.15322
crossref1_(551MB),512,9,0.15709
crossref1_(551MB),512,10,0.13593
crossref1_(551MB),512,11,0.19763
crossref1_(551MB),512,12,0.18851
crossref1_(551MB),512,13,0.20389
crossref1_(551MB),512,14,0.40568
crossref1_(551MB),512,15,0.42522
crossref1_(551MB),512,16,0.44305
crossref1_(551MB),512,17,0.46554
crossref1_(551MB),512,18,0.43868
crossref1_(551MB),512,19,0.46508
crossref1_(551MB),512,20,0.27657
crossref1_(551MB),512,21,0.0992
crossref1_(551MB),8192,1,0.00629
crossref1_(551MB),8192,2,0.08067
crossref1_(551MB),8192,3,0.09187
crossref1_(551MB),8192,4,0.09377
crossref1_(551MB),8192,5,0.08957
crossref1_(551MB),8192,6,0.13138
crossref1_(551MB),8192,7,0.17379
crossref1_(551MB),8192,8,0.1776
crossref1_(551MB),8192,9,0.1816
crossref1_(551MB),8192,10,0.16099
crossref1_(551MB),8192,11,0.2173
crossref1_(551MB),8192,12,0.20881
crossref1_(551MB),8192,13,0.22404
crossref1_(551MB),8192,14,0.40307
crossref1_(551MB),8192,15,0.42269
crossref1_(551MB),8192,16,0.4407
crossref1_(551MB),8192,17,0.4632
crossref1_(551MB),8192,18,0.43594
crossref1_(551MB),8192,19,0.4624
crossref1_(551MB),8192,20,0.27485
crossref1_(551MB),8192,21,0.09909
