JSON,CUTOFF,QUERY_ID,QUERY_TIME_SECONDS
crossref2_(1.1GB),0,1,0.00973
crossref2_(1.1GB),0,2,0.08961
crossref2_(1.1GB),0,3,0.12913
crossref2_(1.1GB),0,4,0.13203
crossref2_(1.1GB),0,5,0.10922
crossref2_(1.1GB),0,6,0.23691
crossref2_(1.1GB),0,7,0.3851
crossref2_(1.1GB),0,8,0.39441
crossref2_(1.1GB),0,9,0.40522
crossref2_(1.1GB),0,10,0.34885
crossref2_(1.1GB),0,11,0.53819
crossref2_(1.1GB),0,12,0.50678
crossref2_(1.1GB),0,13,0.55487
crossref2_(1.1GB),0,14,1.09579
crossref2_(1.1GB),0,15,1.12038
crossref2_(1.1GB),0,16,1.12718
crossref2_(1.1GB),0,17,1.19513
crossref2_(1.1GB),0,18,1.08783
crossref2_(1.1GB),0,19,1.19503
crossref2_(1.1GB),0,20,0.75041
crossref2_(1.1GB),0,21,0.20288
crossref2_(1.1GB),64,1,0.01202
crossref2_(1.1GB),64,2,0.10595
crossref2_(1.1GB),64,3,0.13481
crossref2_(1.1GB),64,4,0.13813
crossref2_(1.1GB),64,5,0.12673
crossref2_(1.1GB),64,6,0.23637
crossref2_(1.1GB),64,7,0.36189
crossref2_(1.1GB),64,8,0.36456
crossref2_(1.1GB),64,9,0.36905
crossref2_(1.1GB),64,10,0.32175
crossref2_(1.1GB),64,11,0.47691
crossref2_(1.1GB),64,12,0.44769
crossref2_(1.1GB),64,13,0.49093
crossref2_(1.1GB),64,14,1.06862
crossref2_(1.1GB),64,15,1.03728
crossref2_(1.1GB),64,16,1.05313
crossref2_(1.1GB),64,17,1.04318
crossref2_(1.1GB),64,18,0.97263
crossref2_(1.1GB),64,19,1.00386
crossref2_(1.1GB),64,20,0.62254
crossref2_(1.1GB),64,21,0.19687
crossref2_(1.1GB),128,1,0.0117
crossref2_(1.1GB),128,2,0.10583
crossref2_(1.1GB),128,3,0.1325
crossref2_(1.1GB),128,4,0.13594
crossref2_(1.1GB),128,5,0.12716
crossref2_(1.1GB),128,6,0.22393
crossref2_(1.1GB),128,7,0.33794
crossref2_(1.1GB),128,8,0.33973
crossref2_(1.1GB),128,9,0.34461
crossref2_(1.1GB),128,10,0.29915
crossref2_(1.1GB),128,11,0.43739
crossref2_(1.1GB),128,12,0.41798
crossref2_(1.1GB),128,13,0.45149
crossref2_(1.1GB),128,14,0.9652
crossref2_(1.1GB),128,15,0.97043
crossref2_(1.1GB),128,16,0.96873
crossref2_(1.1GB),128,17,0.98683
crossref2_(1.1GB),128,18,0.92554
crossref2_(1.1GB),128,19,0.95279
crossref2_(1.1GB),128,20,0.57917
crossref2_(1.1GB),128,21,0.19603
crossref2_(1.1GB),512,1,0.01165
crossref2_(1.1GB),512,2,0.11927
crossref2_(1.1GB),512,3,0.13992
crossref2_(1.1GB),512,4,0.14233
crossref2_(1.1GB),512,5,0.13693
crossref2_(1.1GB),512,6,0.20827
crossref2_(1.1GB),512,7,0.29594
crossref2_(1.1GB),512,8,0.30284
crossref2_(1.1GB),512,9,0.31017
crossref2_(1.1GB),512,10,0.26904
crossref2_(1.1GB),512,11,0.39126
crossref2_(1.1GB),512,12,0.37421
crossref2_(1.1GB),512,13,0.40598
crossref2_(1.1GB),512,14,0.79719
crossref2_(1.1GB),512,15,0.84308
crossref2_(1.1GB),512,16,0.87415
crossref2_(1.1GB),512,17,0.91781
crossref2_(1.1GB),512,18,0.8665
crossref2_(1.1GB),512,19,0.9149
crossref2_(1.1GB),512,20,0.54684
crossref2_(1.1GB),512,21,0.19619
crossref2_(1.1GB),8192,1,0.01178
crossref2_(1.1GB),8192,2,0.15915
crossref2_(1.1GB),8192,3,0.18158
crossref2_(1.1GB),8192,4,0.18528
crossref2_(1.1GB),8192,5,0.17722
crossref2_(1.1GB),8192,6,0.25933
crossref2_(1.1GB),8192,7,0.34158
crossref2_(1.1GB),8192,8,0.34882
crossref2_(1.1GB),8192,9,0.35607
crossref2_(1.1GB),8192,10,0.31678
crossref2_(1.1GB),8192,11,0.42951
crossref2_(1.1GB),8192,12,0.41293
crossref2_(1.1GB),8192,13,0.44481
crossref2_(1.1GB),8192,14,0.79043
crossref2_(1.1GB),8192,15,0.83695
crossref2_(1.1GB),8192,16,0.86714
crossref2_(1.1GB),8192,17,0.90967
crossref2_(1.1GB),8192,18,0.85894
crossref2_(1.1GB),8192,19,0.90707
crossref2_(1.1GB),8192,20,0.54268
crossref2_(1.1GB),8192,21,0.19583
