JSON,CUTOFF,QUERY_ID,QUERY_TIME_SECONDS
google_map_large_record_(1.1GB),0,0,0.01072
google_map_large_record_(1.1GB),0,1,0.49288
google_map_large_record_(1.1GB),0,2,0.57581
google_map_large_record_(1.1GB),0,3,0.59256
google_map_large_record_(1.1GB),0,4,0.90149
google_map_large_record_(1.1GB),0,5,0.86292
google_map_large_record_(1.1GB),0,6,0.77988
google_map_large_record_(1.1GB),0,7,0.43223
google_map_large_record_(1.1GB),0,8,1.23496
google_map_large_record_(1.1GB),0,9,1.41491
google_map_large_record_(1.1GB),0,10,0.66262
google_map_large_record_(1.1GB),0,11,1.09685
google_map_large_record_(1.1GB),0,12,0.89752
google_map_large_record_(1.1GB),0,13,1.13514
google_map_large_record_(1.1GB),0,14,1.01383
google_map_large_record_(1.1GB),0,15,0.99795
google_map_large_record_(1.1GB),0,16,1.0
google_map_large_record_(1.1GB),64,0,0.01337
google_map_large_record_(1.1GB),64,1,0.5559
google_map_large_record_(1.1GB),64,2,0.71353
google_map_large_record_(1.1GB),64,3,0.62651
google_map_large_record_(1.1GB),64,4,0.83467
google_map_large_record_(1.1GB),64,5,0.80963
google_map_large_record_(1.1GB),64,6,0.85815
google_map_large_record_(1.1GB),64,7,0.37219
google_map_large_record_(1.1GB),64,8,1.04676
google_map_large_record_(1.1GB),64,9,1.16941
google_map_large_record_(1.1GB),64,10,0.56433
google_map_large_record_(1.1GB),64,11,0.91475
google_map_large_record_(1.1GB),64,12,0.76211
google_map_large_record_(1.1GB),64,13,0.9057
google_map_large_record_(1.1GB),64,14,0.85936
google_map_large_record_(1.1GB),64,15,0.982
google_map_large_record_(1.1GB),64,16,0.9728
google_map_large_record_(1.1GB),128,0,0.01392
google_map_large_record_(1.1GB),128,1,0.57111
google_map_large_record_(1.1GB),128,2,0.721
google_map_large_record_(1.1GB),128,3,0.63694
google_map_large_record_(1.1GB),128,4,0.8302
google_map_large_record_(1.1GB),128,5,0.79104
google_map_large_record_(1.1GB),128,6,0.83872
google_map_large_record_(1.1GB),128,7,0.31227
google_map_large_record_(1.1GB),128,8,1.02408
google_map_large_record_(1.1GB),128,9,1.14849
google_map_large_record_(1.1GB),128,10,0.47127
google_map_large_record_(1.1GB),128,11,0.89443
google_map_large_record_(1.1GB),128,12,0.63453
google_map_large_record_(1.1GB),128,13,0.80604
google_map_large_record_(1.1GB),128,14,0.71456
google_map_large_record_(1.1GB),128,15,0.9829
google_map_large_record_(1.1GB),128,16,0.97342
google_map_large_record_(1.1GB),512,0,0.01423
google_map_large_record_(1.1GB),512,1,0.44288
google_map_large_record_(1.1GB),512,2,0.56828
google_map_large_record_(1.1GB),512,3,0.50289
google_map_large_record_(1.1GB),512,4,0.72996
google_map_large_record_(1.1GB),512,5,0.69395
google_map_large_record_(1.1GB),512,6,0.69116
google_map_large_record_(1.1GB),512,7,0.31177
google_map_large_record_(1.1GB),512,8,0.98361
google_map_large_record_(1.1GB),512,9,1.11013
google_map_large_record_(1.1GB),512,10,0.47001
google_map_large_record_(1.1GB),512,11,0.85354
google_map_large_record_(1.1GB),512,12,0.63287
google_map_large_record_(1.1GB),512,13,0.80505
google_map_large_record_(1.1GB),512,14,0.71331
google_map_large_record_(1.1GB),512,15,0.98276
google_map_large_record_(1.1GB),512,16,0.97274
google_map_large_record_(1.1GB),8192,0,0.0175
google_map_large_record_(1.1GB),8192,1,0.42451
google_map_large_record_(1.1GB),8192,2,0.55546
google_map_large_record_(1.1GB),8192,3,0.4912
google_map_large_record_(1.1GB),8192,4,0.72663
google_map_large_record_(1.1GB),8192,5,0.69071
google_map_large_record_(1.1GB),8192,6,0.68309
google_map_large_record_(1.1GB),8192,7,0.31379
google_map_large_record_(1.1GB),8192,8,0.98477
google_map_large_record_(1.1GB),8192,9,1.11233
google_map_large_record_(1.1GB),8192,10,0.47082
google_map_large_record_(1.1GB),8192,11,0.85297
google_map_large_record_(1.1GB),8192,12,0.63265
google_map_large_record_(1.1GB),8192,13,0.80452
google_map_large_record_(1.1GB),8192,14,0.71275
google_map_large_record_(1.1GB),8192,15,0.9799
google_map_large_record_(1.1GB),8192,16,0.97125
