JSON,CUTOFF,QUERY_ID,QUERY_TIME_SECONDS
nspl_large_record_(1.2GB),0,0,0.01095
nspl_large_record_(1.2GB),0,1,0.34575
nspl_large_record_(1.2GB),0,2,0.3974
nspl_large_record_(1.2GB),0,3,0.45219
nspl_large_record_(1.2GB),0,4,0.50265
nspl_large_record_(1.2GB),0,5,0.5479
nspl_large_record_(1.2GB),0,6,0.59263
nspl_large_record_(1.2GB),0,7,0.63655
nspl_large_record_(1.2GB),0,8,0.68079
nspl_large_record_(1.2GB),0,9,0.72477
nspl_large_record_(1.2GB),0,10,0.76835
nspl_large_record_(1.2GB),0,11,0.81173
nspl_large_record_(1.2GB),0,12,0.85628
nspl_large_record_(1.2GB),0,13,0.89937
nspl_large_record_(1.2GB),0,14,0.94331
nspl_large_record_(1.2GB),0,15,0.98556
nspl_large_record_(1.2GB),0,16,1.03007
nspl_large_record_(1.2GB),0,17,0.45779
nspl_large_record_(1.2GB),0,18,0.1218
nspl_large_record_(1.2GB),64,0,0.01299
nspl_large_record_(1.2GB),64,1,0.52411
nspl_large_record_(1.2GB),64,2,0.56428
nspl_large_record_(1.2GB),64,3,0.61003
nspl_large_record_(1.2GB),64,4,0.65184
nspl_large_record_(1.2GB),64,5,0.68818
nspl_large_record_(1.2GB),64,6,0.72311
nspl_large_record_(1.2GB),64,7,0.75794
nspl_large_record_(1.2GB),64,8,0.79371
nspl_large_record_(1.2GB),64,9,0.82844
nspl_large_record_(1.2GB),64,10,0.86314
nspl_large_record_(1.2GB),64,11,0.89793
nspl_large_record_(1.2GB),64,12,0.93247
nspl_large_record_(1.2GB),64,13,0.96696
nspl_large_record_(1.2GB),64,14,1.00147
nspl_large_record_(1.2GB),64,15,1.03448
nspl_large_record_(1.2GB),64,16,1.06763
nspl_large_record_(1.2GB),64,17,0.34359
nspl_large_record_(1.2GB),64,18,0.12242
nspl_large_record_(1.2GB),128,0,0.01352
nspl_large_record_(1.2GB),128,1,0.49277
nspl_large_record_(1.2GB),128,2,0.53171
nspl_large_record_(1.2GB),128,3,0.57529
nspl_large_record_(1.2GB),128,4,0.6182
nspl_large_record_(1.2GB),128,5,0.65638
nspl_large_record_(1.2GB),128,6,0.69408
nspl_large_record_(1.2GB),128,7,0.73152
nspl_large_record_(1.2GB),128,8,0.769
nspl_large_record_(1.2GB),128,9,0.80615
nspl_large_record_(1.2GB),128,10,0.84316
nspl_large_record_(1.2GB),128,11,0.88076
nspl_large_record_(1.2GB),128,12,0.91779
nspl_large_record_(1.2GB),128,13,0.95491
nspl_large_record_(1.2GB),128,14,0.99059
nspl_large_record_(1.2GB),128,15,1.02734
nspl_large_record_(1.2GB),128,16,1.06403
nspl_large_record_(1.2GB),128,17,0.3445
nspl_large_record_(1.2GB),128,18,0.12208
nspl_large_record_(1.2GB),512,0,0.01298
nspl_large_record_(1.2GB),512,1,0.50449
nspl_large_record_(1.2GB),512,2,0.54381
nspl_large_record_(1.2GB),512,3,0.58618
nspl_large_record_(1.2GB),512,4,0.62692
nspl_large_record_(1.2GB),512,5,0.6644
nspl_large_record_(1.2GB),512,6,0.70173
nspl_large_record_(1.2GB),512,7,0.73858
nspl_large_record_(1.2GB),512,8,0.77544
nspl_large_record_(1.2GB),512,9,0.81273
nspl_large_record_(1.2GB),512,10,0.84877
nspl_large_record_(1.2GB),512,11,0.88601
nspl_large_record_(1.2GB),512,12,0.92298
nspl_large_record_(1.2GB),512,13,0.95921
nspl_large_record_(1.2GB),512,14,0.99548
nspl_large_record_(1.2GB),512,15,1.03126
nspl_large_record_(1.2GB),512,16,1.06626
nspl_large_record_(1.2GB),512,17,0.34388
nspl_large_record_(1.2GB),512,18,0.1224
nspl_large_record_(1.2GB),8192,0,0.01349
nspl_large_record_(1.2GB),8192,1,0.35996
nspl_large_record_(1.2GB),8192,2,0.40575
nspl_large_record_(1.2GB),8192,3,0.45126
nspl_large_record_(1.2GB),8192,4,0.49683
nspl_large_record_(1.2GB),8192,5,0.54237
nspl_large_record_(1.2GB),8192,6,0.58817
nspl_large_record_(1.2GB),8192,7,0.63386
nspl_large_record_(1.2GB),8192,8,0.68012
nspl_large_record_(1.2GB),8192,9,0.72529
nspl_large_record_(1.2GB),8192,10,0.77091
nspl_large_record_(1.2GB),8192,11,0.81664
nspl_large_record_(1.2GB),8192,12,0.8626
nspl_large_record_(1.2GB),8192,13,0.90789
nspl_large_record_(1.2GB),8192,14,0.95338
nspl_large_record_(1.2GB),8192,15,0.99886
nspl_large_record_(1.2GB),8192,16,1.04508
nspl_large_record_(1.2GB),8192,17,0.344
nspl_large_record_(1.2GB),8192,18,0.12245
