JSON,CUTOFF,QUERY_ID,QUERY_TIME_SECONDS
twitter_large_record_(843MB),0,1,0.12157
twitter_large_record_(843MB),0,2,0.82779
twitter_large_record_(843MB),0,3,0.77667
twitter_large_record_(843MB),0,4,0.72648
twitter_large_record_(843MB),0,5,0.67637
twitter_large_record_(843MB),0,6,0.6267
twitter_large_record_(843MB),0,7,0.57602
twitter_large_record_(843MB),0,8,0.52745
twitter_large_record_(843MB),0,9,0.47713
twitter_large_record_(843MB),0,10,0.42585
twitter_large_record_(843MB),0,11,0.37372
twitter_large_record_(843MB),0,12,0.31983
twitter_large_record_(843MB),0,13,0.26443
twitter_large_record_(843MB),0,14,0.20946
twitter_large_record_(843MB),0,15,0.15604
twitter_large_record_(843MB),0,16,0.09735
twitter_large_record_(843MB),0,17,0.20251
twitter_large_record_(843MB),0,18,0.22208
twitter_large_record_(843MB),0,19,0.26545
twitter_large_record_(843MB),0,20,0.19162
twitter_large_record_(843MB),0,21,0.16162
twitter_large_record_(843MB),0,22,0.15847
twitter_large_record_(843MB),0,23,0.13326
twitter_large_record_(843MB),0,24,0.08962
twitter_large_record_(843MB),0,25,0.04732
twitter_large_record_(843MB),0,26,0.15074
twitter_large_record_(843MB),0,27,0.28855
twitter_large_record_(843MB),0,28,0.84854
twitter_large_record_(843MB),0,200,0.2125
twitter_large_record_(843MB),0,201,0.23601
twitter_large_record_(843MB),0,202,0.19907
twitter_large_record_(843MB),0,203,0.19741
twitter_large_record_(843MB),0,204,0.18762
twitter_large_record_(843MB),0,205,0.22532
twitter_large_record_(843MB),64,1,0.11953
twitter_large_record_(843MB),64,2,0.81114
twitter_large_record_(843MB),64,3,0.76067
twitter_large_record_(843MB),64,4,0.71232
twitter_large_record_(843MB),64,5,0.66449
twitter_large_record_(843MB),64,6,0.61615
twitter_large_record_(843MB),64,7,0.5672
twitter_large_record_(843MB),64,8,0.52034
twitter_large_record_(843MB),64,9,0.47148
twitter_large_record_(843MB),64,10,0.42225
twitter_large_record_(843MB),64,11,0.37206
twitter_large_record_(843MB),64,12,0.32004
twitter_large_record_(843MB),64,13,0.26682
twitter_large_record_(843MB),64,14,0.21358
twitter_large_record_(843MB),64,15,0.16236
twitter_large_record_(843MB),64,16,0.10727
twitter_large_record_(843MB),64,17,0.22871
twitter_large_record_(843MB),64,18,0.24475
twitter_large_record_(843MB),64,19,0.30883
twitter_large_record_(843MB),64,20,0.24659
twitter_large_record_(843MB),64,21,0.1898
twitter_large_record_(843MB),64,22,0.19898
twitter_large_record_(843MB),64,23,0.16632
twitter_large_record_(843MB),64,24,0.10961
twitter_large_record_(843MB),64,25,0.06083
twitter_large_record_(843MB),64,26,0.16406
twitter_large_record_(843MB),64,27,0.31216
twitter_large_record_(843MB),64,28,0.83295
twitter_large_record_(843MB),64,200,0.24038
twitter_large_record_(843MB),64,201,0.26555
twitter_large_record_(843MB),64,202,0.24226
twitter_large_record_(843MB),64,203,0.24123
twitter_large_record_(843MB),64,204,0.23248
twitter_large_record_(843MB),64,205,0.25083
twitter_large_record_(843MB),128,1,0.11883
twitter_large_record_(843MB),128,2,0.81073
twitter_large_record_(843MB),128,3,0.76162
twitter_large_record_(843MB),128,4,0.71259
twitter_large_record_(843MB),128,5,0.66569
twitter_large_record_(843MB),128,6,0.61683
twitter_large_record_(843MB),128,7,0.56893
twitter_large_record_(843MB),128,8,0.52269
twitter_large_record_(843MB),128,9,0.47431
twitter_large_record_(843MB),128,10,0.42476
twitter_large_record_(843MB),128,11,0.37546
twitter_large_record_(843MB),128,12,0.32379
twitter_large_record_(843MB),128,13,0.27109
twitter_large_record_(843MB),128,14,0.21863
twitter_large_record_(843MB),128,15,0.16739
twitter_large_record_(843MB),128,16,0.11432
twitter_large_record_(843MB),128,17,0.22734
twitter_large_record_(843MB),128,18,0.23766
twitter_large_record_(843MB),128,19,0.30682
twitter_large_record_(843MB),128,20,0.24549
twitter_large_record_(843MB),128,21,0.18936
twitter_large_record_(843MB),128,22,0.20118
twitter_large_record_(843MB),128,23,0.16573
twitter_large_record_(843MB),128,24,0.11271
twitter_large_record_(843MB),128,25,0.06613
twitter_large_record_(843MB),128,26,0.16511
twitter_large_record_(843MB),128,27,0.30241
twitter_large_record_(843MB),128,28,0.83258
twitter_large_record_(843MB),128,200,0.23741
twitter_large_record_(843MB),128,201,0.26186
twitter_large_record_(843MB),128,202,0.23735
twitter_large_record_(843MB),128,203,0.23664
twitter_large_record_(843MB),128,204,0.2303
twitter_large_record_(843MB),128,205,0.25031
twitter_large_record_(843MB),512,1,0.12073
twitter_large_record_(843MB),512,2,0.81223
twitter_large_record_(843MB),512,3,0.76481
twitter_large_record_(843MB),512,4,0.71913
twitter_large_record_(843MB),512,5,0.67368
twitter_large_record_(843MB),512,6,0.62795
twitter_large_record_(843MB),512,7,0.58156
twitter_large_record_(843MB),512,8,0.5377
twitter_large_record_(843MB),512,9,0.49108
twitter_large_record_(843MB),512,10,0.44436
twitter_large_record_(843MB),512,11,0.39715
twitter_large_record_(843MB),512,12,0.34729
twitter_large_record_(843MB),512,13,0.29767
twitter_large_record_(843MB),512,14,0.24756
twitter_large_record_(843MB),512,15,0.19823
twitter_large_record_(843MB),512,16,0.14976
twitter_large_record_(843MB),512,17,0.20953
twitter_large_record_(843MB),512,18,0.22563
twitter_large_record_(843MB),512,19,0.27943
twitter_large_record_(843MB),512,20,0.22139
twitter_large_record_(843MB),512,21,0.20034
twitter_large_record_(843MB),512,22,0.21001
twitter_large_record_(843MB),512,23,0.18599
twitter_large_record_(843MB),512,24,0.13262
twitter_large_record_(843MB),512,25,0.11018
twitter_large_record_(843MB),512,26,0.18754
twitter_large_record_(843MB),512,27,0.27461
twitter_large_record_(843MB),512,28,0.83209
twitter_large_record_(843MB),512,200,0.23687
twitter_large_record_(843MB),512,201,0.26948
twitter_large_record_(843MB),512,202,0.23638
twitter_large_record_(843MB),512,203,0.23608
twitter_large_record_(843MB),512,204,0.23437
twitter_large_record_(843MB),512,205,0.25563
twitter_large_record_(843MB),8192,1,0.1644
twitter_large_record_(843MB),8192,2,0.81347
twitter_large_record_(843MB),8192,3,0.76974
twitter_large_record_(843MB),8192,4,0.72733
twitter_large_record_(843MB),8192,5,0.68465
twitter_large_record_(843MB),8192,6,0.64211
twitter_large_record_(843MB),8192,7,0.59938
twitter_large_record_(843MB),8192,8,0.55819
twitter_large_record_(843MB),8192,9,0.51552
twitter_large_record_(843MB),8192,10,0.47197
twitter_large_record_(843MB),8192,11,0.42779
twitter_large_record_(843MB),8192,12,0.3823
twitter_large_record_(843MB),8192,13,0.33704
twitter_large_record_(843MB),8192,14,0.29213
twitter_large_record_(843MB),8192,15,0.24753
twitter_large_record_(843MB),8192,16,0.20349
twitter_large_record_(843MB),8192,17,0.25466
twitter_large_record_(843MB),8192,18,0.26922
twitter_large_record_(843MB),8192,19,0.27321
twitter_large_record_(843MB),8192,20,0.21528
twitter_large_record_(843MB),8192,21,0.22304
twitter_large_record_(843MB),8192,22,0.20196
twitter_large_record_(843MB),8192,23,0.1934
twitter_large_record_(843MB),8192,24,0.18085
twitter_large_record_(843MB),8192,25,0.16785
twitter_large_record_(843MB),8192,26,0.21571
twitter_large_record_(843MB),8192,27,0.27273
twitter_large_record_(843MB),8192,28,0.83393
twitter_large_record_(843MB),8192,200,0.23947
twitter_large_record_(843MB),8192,201,0.28361
twitter_large_record_(843MB),8192,202,0.23575
twitter_large_record_(843MB),8192,203,0.23574
twitter_large_record_(843MB),8192,204,0.23028
twitter_large_record_(843MB),8192,205,0.27956
