JSON,CUTOFF,QUERY_ID,QUERY_TIME_SECONDS
walmart_large_record_(995MB),0,0,0.009
walmart_large_record_(995MB),0,1,0.06029
walmart_large_record_(995MB),0,2,0.07987
walmart_large_record_(995MB),0,3,0.11845
walmart_large_record_(995MB),0,4,0.12859
walmart_large_record_(995MB),0,5,0.12033
walmart_large_record_(995MB),0,6,0.18741
walmart_large_record_(995MB),0,7,0.18984
walmart_large_record_(995MB),0,8,0.20775
walmart_large_record_(995MB),0,9,0.21698
walmart_large_record_(995MB),0,10,0.22898
walmart_large_record_(995MB),0,11,0.24804
walmart_large_record_(995MB),0,12,0.29626
walmart_large_record_(995MB),0,13,0.35189
walmart_large_record_(995MB),0,14,0.36198
walmart_large_record_(995MB),0,15,0.12291
walmart_large_record_(995MB),64,0,0.01126
walmart_large_record_(995MB),64,1,0.10083
walmart_large_record_(995MB),64,2,0.12687
walmart_large_record_(995MB),64,3,0.14301
walmart_large_record_(995MB),64,4,0.15413
walmart_large_record_(995MB),64,5,0.14377
walmart_large_record_(995MB),64,6,0.21847
walmart_large_record_(995MB),64,7,0.2065
walmart_large_record_(995MB),64,8,0.24115
walmart_large_record_(995MB),64,9,0.24883
walmart_large_record_(995MB),64,10,0.25799
walmart_large_record_(995MB),64,11,0.27752
walmart_large_record_(995MB),64,12,0.32053
walmart_large_record_(995MB),64,13,0.37729
walmart_large_record_(995MB),64,14,0.36049
walmart_large_record_(995MB),64,15,0.12419
walmart_large_record_(995MB),128,0,0.01129
walmart_large_record_(995MB),128,1,0.121
walmart_large_record_(995MB),128,2,0.14271
walmart_large_record_(995MB),128,3,0.15124
walmart_large_record_(995MB),128,4,0.16038
walmart_large_record_(995MB),128,5,0.15183
walmart_large_record_(995MB),128,6,0.22214
walmart_large_record_(995MB),128,7,0.21023
walmart_large_record_(995MB),128,8,0.24388
walmart_large_record_(995MB),128,9,0.25118
walmart_large_record_(995MB),128,10,0.26053
walmart_large_record_(995MB),128,11,0.28024
walmart_large_record_(995MB),128,12,0.32282
walmart_large_record_(995MB),128,13,0.37897
walmart_large_record_(995MB),128,14,0.35928
walmart_large_record_(995MB),128,15,0.12453
walmart_large_record_(995MB),512,0,0.01112
walmart_large_record_(995MB),512,1,0.18093
walmart_large_record_(995MB),512,2,0.19773
walmart_large_record_(995MB),512,3,0.18256
walmart_large_record_(995MB),512,4,0.18282
walmart_large_record_(995MB),512,5,0.18489
walmart_large_record_(995MB),512,6,0.23036
walmart_large_record_(995MB),512,7,0.22648
walmart_large_record_(995MB),512,8,0.25088
walmart_large_record_(995MB),512,9,0.25883
walmart_large_record_(995MB),512,10,0.26909
walmart_large_record_(995MB),512,11,0.28686
walmart_large_record_(995MB),512,12,0.33183
walmart_large_record_(995MB),512,13,0.36015
walmart_large_record_(995MB),512,14,0.35777
walmart_large_record_(995MB),512,15,0.12311
walmart_large_record_(995MB),8192,0,0.01128
walmart_large_record_(995MB),8192,1,0.21281
walmart_large_record_(995MB),8192,2,0.22427
walmart_large_record_(995MB),8192,3,0.23936
walmart_large_record_(995MB),8192,4,0.2452
walmart_large_record_(995MB),8192,5,0.2391
walmart_large_record_(995MB),8192,6,0.24843
walmart_large_record_(995MB),8192,7,0.27435
walmart_large_record_(995MB),8192,8,0.26329
walmart_large_record_(995MB),8192,9,0.26745
walmart_large_record_(995MB),8192,10,0.27283
walmart_large_record_(995MB),8192,11,0.28201
walmart_large_record_(995MB),8192,12,0.31555
walmart_large_record_(995MB),8192,13,0.36008
walmart_large_record_(995MB),8192,14,0.35797
walmart_large_record_(995MB),8192,15,0.12338
