FILENAME,QUERY_NAME,LUT_PERCENT_SKIP,ITE_PERCENT_SKIP,TOTAL_PERCENT_SKIP,LUT_COUNT,ITE_COUNT,TOTAL_COUNT,LUT_DISTANCE,ITE_DISTANCE,TOTAL_DISTANCE,FILE_SIZE
crossref1_(551MB),1,1.000000,0.000000,1.000000,4,0,4,550523826,0,550523826,550523996
crossref1_(551MB),2,0.963846,0.000000,0.963846,96875,0,96875,530620092,0,530620092,550523996
crossref1_(551MB),3,0.950990,0.000000,0.950990,191872,0,191872,523542776,0,523542776,550523996
crossref1_(551MB),4,0.948115,0.000000,0.948115,191973,0,191973,521960099,0,521960099,550523996
crossref1_(551MB),5,0.937938,0.000000,0.937938,96981,0,96981,516357194,0,516357194,550523996
crossref1_(551MB),6,0.922995,0.000000,0.922995,355837,0,355837,508130915,0,508130915,550523996
crossref1_(551MB),7,0.881082,0.000000,0.881082,713806,0,713806,485056680,0,485056680,550523996
crossref1_(551MB),8,0.865040,0.000000,0.865040,640676,0,640676,476225036,0,476225036,550523996
crossref1_(551MB),9,0.852936,0.000000,0.852936,549425,0,549425,469561699,0,469561699,550523996
crossref1_(551MB),10,0.849213,0.000000,0.849213,535527,0,535527,467512151,0,467512151,550523996
crossref1_(551MB),11,0.808941,0.000000,0.808941,894793,0,894793,445341168,0,445341168,550523996
crossref1_(551MB),12,0.804825,0.000000,0.804825,735418,0,735418,443075594,0,443075594,550523996
crossref1_(551MB),13,0.796434,0.000000,0.796434,884295,0,884295,438456229,0,438456229,550523996
crossref1_(551MB),14,0.732995,0.000000,0.732995,1981035,0,1981035,403531231,0,403531231,550523996
crossref1_(551MB),15,0.545019,0.000000,0.545019,1440033,0,1440033,300046276,0,300046276,550523996
crossref1_(551MB),16,0.490577,0.000000,0.490577,1346401,0,1346401,270074555,0,270074555,550523996
crossref1_(551MB),17,0.374631,0.000000,0.374631,1251090,0,1251090,206243476,0,206243476,550523996
crossref1_(551MB),18,0.338667,0.000000,0.338667,899537,0,899537,186444445,0,186444445,550523996
crossref1_(551MB),19,0.313539,0.000000,0.313539,1139434,0,1139434,172610712,0,172610712,550523996
crossref1_(551MB),20,0.256538,0.000000,0.256538,748103,0,748103,141230324,0,141230324,550523996
crossref1_(551MB),21,0.000000,0.000000,0.000000,0,0,0,0,0,0,550523996
