FILENAME,QUERY_NAME,LUT_PERCENT_SKIP,ITE_PERCENT_SKIP,TOTAL_PERCENT_SKIP,LUT_COUNT,ITE_COUNT,TOTAL_COUNT,LUT_DISTANCE,ITE_DISTANCE,TOTAL_DISTANCE,FILE_SIZE
crossref4_(2.1GB),1,1.000000,0.000000,1.000000,4,0,4,2072171571,0,2072171571,2072171741
crossref4_(2.1GB),2,0.966523,0.000000,0.966523,387500,0,387500,2002802666,0,2002802666,2072171741
crossref4_(2.1GB),3,0.952856,0.000000,0.952856,766430,0,766430,1974480271,0,1974480271,2072171741
crossref4_(2.1GB),4,0.949824,0.000000,0.949824,766688,0,766688,1968198985,0,1968198985,2072171741
crossref4_(2.1GB),5,0.938959,0.000000,0.938959,389238,0,389238,1945685020,0,1945685020,2072171741
crossref4_(2.1GB),6,0.923447,0.000000,0.923447,1413364,0,1413364,1913539742,0,1913539742,2072171741
crossref4_(2.1GB),7,0.881526,0.000000,0.881526,2801318,0,2801318,1826672796,0,1826672796,2072171741
crossref4_(2.1GB),8,0.865179,0.000000,0.865179,2514221,0,2514221,1792799343,0,1792799343,2072171741
crossref4_(2.1GB),9,0.852929,0.000000,0.852929,2156081,0,2156081,1767415562,0,1767415562,2072171741
crossref4_(2.1GB),10,0.849472,0.000000,0.849472,2101896,0,2101896,1760252233,0,1760252233,2072171741
crossref4_(2.1GB),11,0.802716,0.000000,0.802716,3545724,0,3545724,1663364799,0,1663364799,2072171741
crossref4_(2.1GB),12,0.797024,0.000000,0.797024,2935391,0,2935391,1651569639,0,1651569639,2072171741
crossref4_(2.1GB),13,0.790905,0.000000,0.790905,3514912,0,3514912,1638891372,0,1638891372,2072171741
crossref4_(2.1GB),14,0.735000,0.000000,0.735000,7533534,0,7533534,1523046027,0,1523046027,2072171741
crossref4_(2.1GB),15,0.542898,0.000000,0.542898,5573270,0,5573270,1124978257,0,1124978257,2072171741
crossref4_(2.1GB),16,0.490280,0.000000,0.490280,5189410,0,5189410,1015944680,0,1015944680,2072171741
crossref4_(2.1GB),17,0.388777,0.000000,0.388777,4898794,0,4898794,805611692,0,805611692,2072171741
crossref4_(2.1GB),18,0.335092,0.000000,0.335092,3475926,0,3475926,694367501,0,694367501,2072171741
crossref4_(2.1GB),19,0.325142,0.000000,0.325142,4501802,0,4501802,673750150,0,673750150,2072171741
crossref4_(2.1GB),20,0.264655,0.000000,0.264655,2985754,0,2985754,548411463,0,548411463,2072171741
crossref4_(2.1GB),21,0.000000,0.000000,0.000000,0,0,0,0,0,0,2072171741
