FILENAME,QUERY_NAME,LUT_PERCENT_SKIP,ITE_PERCENT_SKIP,TOTAL_PERCENT_SKIP,LUT_COUNT,ITE_COUNT,TOTAL_COUNT,LUT_DISTANCE,ITE_DISTANCE,TOTAL_DISTANCE,FILE_SIZE
google_map_large_record_(1.1GB),0,0.999989,0.000000,0.999989,4005,0,4005,1136056838,0,1136056838,1136069010
google_map_large_record_(1.1GB),1,0.965067,0.000000,0.965067,1737526,0,1737526,1096382834,0,1096382834,1136069010
google_map_large_record_(1.1GB),2,0.821380,0.000000,0.821380,1888270,0,1888270,933144458,0,933144458,1136069010
google_map_large_record_(1.1GB),3,0.819461,0.000000,0.819461,1737526,0,1737526,930964373,0,930964373,1136069010
google_map_large_record_(1.1GB),4,0.745787,0.000000,0.745787,2843218,0,2843218,847265739,0,847265739,1136069010
google_map_large_record_(1.1GB),5,0.673776,0.000000,0.673776,2399292,0,2399292,765456318,0,765456318,1136069010
google_map_large_record_(1.1GB),6,0.665473,0.000000,0.665473,2132424,0,2132424,756023725,0,756023725,1136069010
google_map_large_record_(1.1GB),7,0.654228,0.000000,0.654228,742036,0,742036,743248544,0,743248544,1136069010
google_map_large_record_(1.1GB),8,0.594071,0.000000,0.594071,4577644,0,4577644,674905791,0,674905791,1136069010
google_map_large_record_(1.1GB),9,0.532257,0.000000,0.532257,3727278,0,3727278,604680808,0,604680808,1136069010
google_map_large_record_(1.1GB),10,0.467309,0.000000,0.467309,1137270,0,1137270,530895474,0,530895474,1136069010
google_map_large_record_(1.1GB),11,0.432387,0.000000,0.432387,963289,0,963289,491221548,0,491221548,1136069010
google_map_large_record_(1.1GB),12,0.269475,0.000000,0.269475,1542738,0,1542738,306141779,0,306141779,1136069010
google_map_large_record_(1.1GB),13,0.225161,0.000000,0.225161,3307081,0,3307081,255798878,0,255798878,1136069010
google_map_large_record_(1.1GB),14,0.173328,0.000000,0.173328,1741810,0,1741810,196912980,0,196912980,1136069010
google_map_large_record_(1.1GB),15,0.006689,0.000000,0.006689,16426,0,16426,7599549,0,7599549,1136069010
google_map_large_record_(1.1GB),16,0.000000,0.000000,0.000000,0,0,0,0,0,0,1136069010
