FILENAME,QUERY_NAME,LUT_PERCENT_SKIP,ITE_PERCENT_SKIP,TOTAL_PERCENT_SKIP,LUT_COUNT,ITE_COUNT,TOTAL_COUNT,LUT_DISTANCE,ITE_DISTANCE,TOTAL_DISTANCE,FILE_SIZE
google_map_large_record_(1.1GB),0,0.999989,0.000000,0.999989,4005,0,4005,1136056838,0,1136056838,1136069010
google_map_large_record_(1.1GB),1,0.965067,0.000000,0.965067,1737526,0,1737526,1096382834,0,1096382834,1136069010
google_map_large_record_(1.1GB),2,0.821380,0.000000,0.821380,1888270,0,1888270,933144458,0,933144458,1136069010
google_map_large_record_(1.1GB),3,0.819461,0.000000,0.819461,1737526,0,1737526,930964373,0,930964373,1136069010
google_map_large_record_(1.1GB),4,0.745787,0.000000,0.745787,2843218,0,2843218,847265739,0,847265739,1136069010
google_map_large_record_(1.1GB),5,0.673776,0.000000,0.673776,2399292,0,2399292,765456318,0,765456318,1136069010
google_map_large_record_(1.1GB),6,0.665473,0.000000,0.665473,2132424,0,2132424,756023725,0,756023725,1136069010
google_map_large_record_(1.1GB),7,0.654228,0.000000,0.654228,742036,0,742036,743248544,0,743248544,1136069010
google_map_large_record_(1.1GB),8,0.594071,0.000000,0.594071,4577644,0,4577644,674905791,0,674905791,1136069010
google_map_large_record_(1.1GB),9,0.532257,0.000000,0.532257,3727278,0,3727278,604680808,0,604680808,1136069010
google_map_large_record_(1.1GB),10,0.467309,0.000000,0.467309,1137270,0,1137270,530895474,0,530895474,1136069010
google_map_large_record_(1.1GB),11,0.432387,0.000000,0.432387,963289,0,963289,491221548,0,491221548,1136069010
google_map_large_record_(1.1GB),12,0.269475,0.000000,0.269475,1542738,0,1542738,306141779,0,306141779,1136069010
google_map_large_record_(1.1GB),13,0.225161,0.000000,0.225161,3307081,0,3307081,255798878,0,255798878,1136069010
google_map_large_record_(1.1GB),14,0.173328,0.000000,0.173328,1741810,0,1741810,196912980,0,196912980,1136069010
google_map_large_record_(1.1GB),15,0.006689,0.000000,0.006689,16426,0,16426,7599549,0,7599549,1136069010
google_map_large_record_(1.1GB),16,0.000000,0.000000,0.000000,0,0,0,0,0,0,1136069010
google_map_large_record_(1.1GB),100,0.997609,0.001006,0.998615,47828,8787,56615,1133353130,1142729,1134495859,1136069010
google_map_large_record_(1.1GB),101,0.692272,0.001463,0.693736,8618671,13135,8631806,786469311,1662203,788131514,1136069010
google_map_large_record_(1.1GB),102,0.006117,0.813778,0.819894,34784,1729887,1764671,6949133,924507553,931456686,1136069010
google_map_large_record_(1.1GB),103,0.006117,0.851077,0.857194,34784,3446639,3481423,6949133,966882326,973831459,1136069010
google_map_large_record_(1.1GB),104,0.006117,0.813778,0.819894,34784,1729887,1764671,6949133,924507553,931456686,1136069010
google_map_large_record_(1.1GB),108,0.577595,0.093419,0.671013,5185040,1729887,6914927,656187248,106130303,762317551,1136069010
google_map_large_record_(1.1GB),109,0.117228,0.167522,0.284749,3468288,1729887,5198175,133178665,190316374,323495039,1136069010
google_map_large_record_(1.1GB),110,0.117228,0.167522,0.284749,3468288,1729887,5198175,133178665,190316374,323495039,1136069010
google_map_large_record_(1.1GB),111,0.630542,0.004493,0.635034,6901792,1729887,8631679,716338791,5103810,721442601,1136069010
google_map_large_record_(1.1GB),112,0.006117,0.959384,0.965500,34784,1729887,1764671,6949133,1089926014,1096875147,1136069010
google_map_large_record_(1.1GB),113,0.055505,0.789599,0.845105,1751536,1729887,3481423,63057922,897039521,960097443,1136069010
google_map_large_record_(1.1GB),114,0.055519,0.649020,0.704539,1752044,1729887,3481931,63073736,737331377,800405113,1136069010
google_map_large_record_(1.1GB),115,0.055519,0.700168,0.755687,1752044,3446639,5198683,63073736,795438768,858512504,1136069010
google_map_large_record_(1.1GB),116,0.055519,0.649020,0.704539,1752044,1729887,3481931,63073736,737331377,800405113,1136069010
google_map_large_record_(1.1GB),117,0.177268,0.617344,0.794613,3051651,1404890,4456541,201389199,701345573,902734772,1136069010
google_map_large_record_(1.1GB),118,0.005805,0.001006,0.006811,17392,8787,26179,6594710,1142729,7737439,1136069010
google_map_large_record_(1.1GB),119,0.005805,0.001006,0.006811,17392,8787,26179,6594710,1142729,7737439,1136069010
google_map_large_record_(1.1GB),200,0.999779,0.000000,0.999779,8878,90,8968,1135818285,180,1135818465,1136069010
google_map_large_record_(1.1GB),201,0.999782,0.000000,0.999782,8968,0,8968,1135821435,0,1135821435,1136069010
google_map_large_record_(1.1GB),202,0.998364,0.000998,0.999363,21740,4439,26179,1134210964,1134033,1135344997,1136069010
google_map_large_record_(1.1GB),203,0.997609,0.001006,0.998615,47828,8787,56615,1133353130,1142729,1134495859,1136069010
google_map_large_record_(1.1GB),204,0.884223,0.115767,0.999989,4004,3,4007,1004537819,131519099,1136056918,1136069010
google_map_large_record_(1.1GB),205,0.998943,0.000998,0.999941,4348,4439,8787,1134868389,1134033,1136002422,1136069010
