FILENAME,QUERY_NAME,LUT_PERCENT_SKIP,ITE_PERCENT_SKIP,TOTAL_PERCENT_SKIP,LUT_COUNT,ITE_COUNT,TOTAL_COUNT,LUT_DISTANCE,ITE_DISTANCE,TOTAL_DISTANCE,FILE_SIZE
twitter_large_record_(843MB),1,0.661039,0.000000,0.661039,150135,0,150135,557014263,0,557014263,842634887
twitter_large_record_(843MB),2,0.035640,0.000000,0.035640,5427,0,5427,30031558,0,30031558,842634887
twitter_large_record_(843MB),3,0.101083,0.000000,0.101083,15318,0,15318,85176383,0,85176383,842634887
twitter_large_record_(843MB),4,0.165078,0.000000,0.165078,25199,0,25199,139100210,0,139100210,842634887
twitter_large_record_(843MB),5,0.228623,0.000000,0.228623,35062,0,35062,192645813,0,192645813,842634887
twitter_large_record_(843MB),6,0.292380,0.000000,0.292380,44924,0,44924,246369402,0,246369402,842634887
twitter_large_record_(843MB),7,0.356660,0.000000,0.356660,54803,0,54803,300534244,0,300534244,842634887
twitter_large_record_(843MB),8,0.417997,0.000000,0.417997,64680,0,64680,352218572,0,352218572,842634887
twitter_large_record_(843MB),9,0.481244,0.000000,0.481244,74568,0,74568,405513144,0,405513144,842634887
twitter_large_record_(843MB),10,0.545231,0.000000,0.545231,84495,0,84495,459430354,0,459430354,842634887
twitter_large_record_(843MB),11,0.609424,0.000000,0.609424,94415,0,94415,513521532,0,513521532,842634887
twitter_large_record_(843MB),12,0.675647,0.000000,0.675647,104348,0,104348,569323818,0,569323818,842634887
twitter_large_record_(843MB),13,0.741561,0.000000,0.741561,114279,0,114279,624865238,0,624865238,842634887
twitter_large_record_(843MB),14,0.807400,0.000000,0.807400,124224,0,124224,680343167,0,680343167,842634887
twitter_large_record_(843MB),15,0.872362,0.000000,0.872362,134180,0,134180,735082654,0,735082654,842634887
twitter_large_record_(843MB),16,0.936339,0.000000,0.936339,144103,0,144103,788991926,0,788991926,842634887
twitter_large_record_(843MB),17,0.751322,0.000000,0.751322,303229,0,303229,633090200,0,633090200,842634887
twitter_large_record_(843MB),18,0.708100,0.000000,0.708100,303229,0,303229,596669974,0,596669974,842634887
twitter_large_record_(843MB),19,0.780070,0.000000,0.780070,589243,0,589243,657314031,0,657314031,842634887
twitter_large_record_(843MB),20,0.805593,0.000000,0.805593,527411,0,527411,678820511,0,678820511,842634887
twitter_large_record_(843MB),21,0.834220,0.000000,0.834220,303229,0,303229,702943151,0,702943151,842634887
twitter_large_record_(843MB),22,0.870497,0.000000,0.870497,425022,0,425022,733511279,0,733511279,842634887
twitter_large_record_(843MB),23,0.889281,0.000000,0.889281,303229,0,303229,749339339,0,749339339,842634887
twitter_large_record_(843MB),24,0.954362,0.000000,0.954362,154375,0,154375,804178470,0,804178470,842634887
twitter_large_record_(843MB),25,0.989802,0.000000,0.989802,153140,0,153140,834041986,0,834041986,842634887
twitter_large_record_(843MB),26,0.901908,0.000000,0.901908,304526,0,304526,759979309,0,759979309,842634887
twitter_large_record_(843MB),27,0.572430,0.000000,0.572430,533286,0,533286,482349373,0,482349373,842634887
twitter_large_record_(843MB),28,0.000000,0.000000,0.000000,0,0,0,0,0,0,842634887
twitter_large_record_(843MB),200,0.814321,0.000000,0.814321,441249,0,441249,686175625,0,686175625,842634887
twitter_large_record_(843MB),201,0.814355,0.000000,0.814355,441884,0,441884,686204050,0,686204050,842634887
twitter_large_record_(843MB),202,0.862592,0.000000,0.862592,677437,0,677437,726850050,0,726850050,842634887
twitter_large_record_(843MB),203,0.862592,0.000000,0.862592,677448,0,677448,726850529,0,726850529,842634887
twitter_large_record_(843MB),204,0.849602,0.000000,0.849602,583628,0,583628,715903891,0,715903891,842634887
twitter_large_record_(843MB),205,0.851961,0.000000,0.851961,454493,0,454493,717891921,0,717891921,842634887
