FILENAME,QUERY_NAME,LUT_PERCENT_SKIP,ITE_PERCENT_SKIP,TOTAL_PERCENT_SKIP,LUT_COUNT,ITE_COUNT,TOTAL_COUNT,LUT_DISTANCE,ITE_DISTANCE,TOTAL_DISTANCE,FILE_SIZE
walmart_large_record_(995MB),0,1.000000,0.000000,1.000000,1,0,1,995350308,0,995350308,995350329
walmart_large_record_(995MB),1,0.996712,0.000000,0.996712,272499,0,272499,992077436,0,992077436,995350329
walmart_large_record_(995MB),2,0.985764,0.000000,0.985764,272499,0,272499,981180727,0,981180727,995350329
walmart_large_record_(995MB),3,0.955816,0.000000,0.955816,272056,0,272056,951372256,0,951372256,995350329
walmart_large_record_(995MB),4,0.949076,0.000000,0.949076,272467,0,272467,944663171,0,944663171,995350329
walmart_large_record_(995MB),5,0.938876,0.000000,0.938876,269481,0,269481,934510829,0,934510829,995350329
walmart_large_record_(995MB),6,0.878879,0.000000,0.878879,272052,0,272052,874792915,0,874792915,995350329
walmart_large_record_(995MB),7,0.680515,0.000000,0.680515,209458,0,209458,677350887,0,677350887,995350329
walmart_large_record_(995MB),8,0.564013,0.000000,0.564013,272452,0,272452,561390608,0,561390608,995350329
walmart_large_record_(995MB),9,0.520963,0.000000,0.520963,272455,0,272455,518540332,0,518540332,995350329
walmart_large_record_(995MB),10,0.478252,0.000000,0.478252,272499,0,272499,476028664,0,476028664,995350329
walmart_large_record_(995MB),11,0.433276,0.000000,0.433276,272499,0,272499,431261164,0,431261164,995350329
walmart_large_record_(995MB),12,0.301231,0.000000,0.301231,272499,0,272499,299830841,0,299830841,995350329
walmart_large_record_(995MB),13,0.187381,0.000000,0.187381,324215,0,324215,186509309,0,186509309,995350329
walmart_large_record_(995MB),14,0.019278,0.000000,0.019278,51895,0,51895,19188601,0,19188601,995350329
walmart_large_record_(995MB),15,0.000000,0.000000,0.000000,0,0,0,0,0,0,995350329
