JSON,ALGORITHM,BUILD_TIME_SECONDS
bestbuy_large_record_(1GB),SERDE,12.36093
bestbuy_large_record_(1GB),rq-legacy,0
bestbuy_large_record_(1GB),rq-lut-cutoff-0,0.47957
bestbuy_large_record_(1GB),rq-lut-cutoff-512,0.33873
crossref1_(551MB),SERDE,6.24563
crossref1_(551MB),rq-legacy,0
crossref1_(551MB),rq-lut-cutoff-0,0.37193
crossref1_(551MB),rq-lut-cutoff-512,0.23631
crossref2_(1.1GB),SERDE,12.38204
crossref2_(1.1GB),rq-legacy,0
crossref2_(1.1GB),rq-lut-cutoff-0,0.68268
crossref2_(1.1GB),rq-lut-cutoff-512,0.44501
crossref4_(2.1GB),SERDE,24.10728
crossref4_(2.1GB),rq-legacy,0
crossref4_(2.1GB),rq-lut-cutoff-0,1.31106
crossref4_(2.1GB),rq-lut-cutoff-512,0.85152
google_map_large_record_(1.1GB),SERDE,11.18974
google_map_large_record_(1.1GB),rq-legacy,0
google_map_large_record_(1.1GB),rq-lut-cutoff-0,0.67536
google_map_large_record_(1.1GB),rq-lut-cutoff-512,0.47687
