QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$[*].user..url.*,0.15983
2,$[1:150000]..user,0.80334
3,$[1:140000]..user,0.75932
4,$[1:130000]..user,0.71927
5,$[1:120000]..user,0.67589
6,$[1:110000]..user,0.63363
7,$[1:100000]..user,0.59146
8,$[1:90000]..user,0.55075
9,$[1:80000]..user,0.50871
10,$[1:70000]..user,0.46557
11,$[1:60000]..user,0.42208
12,$[1:50000]..user,0.37743
13,$[1:40000]..user,0.33279
14,$[1:30000]..user,0.28814
15,$[1:20000]..user,0.24404
16,$[1:10000]..user,0.20062
17,$[*].user.profile_sidebar_border_color,0.25546
18,$[*].user.profile_image_url_https,0.27095
19,$[*].retweeted_status.filter_level,0.27087
20,$[*].retweeted_status.user.name,0.21166
21,$[*].user.created_at,0.22252
22,$[*].retweeted_status.id,0.19648
23,$[*].user.screen_name,0.18986
24,$[*].source,0.18003
25,$[*].id,0.16609
26,$[*].geo,0.21391
27,$[*].retweeted_status[*],0.27992
28,$[*]..id,0.82708
200,$[*].entities..symbols[*],0.23437
201,$[*].entities..url,0.27849
202,$[*].entities.symbols[*],0.24204
203,$[*].entities.symbols[1],0.24215
204,$[*].entities.urls[*].display_url,0.23208
205,$[*].timestamp_ms,0.27510
