QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$.meta.view.id,0.01352
1,$.data[0:100000][*],0.49277
2,$.data[0:200000][*],0.53171
3,$.data[0:300000][*],0.57529
4,$.data[0:400000][*],0.61820
5,$.data[0:500000][*],0.65638
6,$.data[0:600000][*],0.69408
7,$.data[0:700000][*],0.73152
8,$.data[0:800000][*],0.76900
9,$.data[0:900000][*],0.80615
10,$.data[0:1000000][*],0.84316
11,$.data[0:1100000][*],0.88076
12,$.data[0:1200000][*],0.91779
13,$.data[0:1300000][*],0.95491
14,$.data[0:1400000][*],0.99059
15,$.data[0:1500000][*],1.02734
16,$.data[0:1600000][*],1.06403
17,$.data[*],0.34450
18,$..id,0.12208
