QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$[0].id,0.01231
2,$[1:1000]..fr,0.10820
3,$[*].labels.*.language,0.40627
4,$[*].labels.*.value,0.33020
5,$[1:10000]..fr,0.28888
6,$[*].*.fr.*,0.73570
7,$[1:20000]..fr,0.46082
8,$[1:30000]..fr,0.59173
9,$[1:40000]..fr,0.72527
10,$[1:50000]..fr,0.86859
11,$[1:60000]..fr,0.98186
12,$[1:70000]..fr,1.08955
13,$[1:80000]..fr,1.20496
14,$[1:90000]..fr,1.30182
15,$[1:100000]..fr,1.38654
16,$[1:110000]..fr,1.49433
17,$[1:120000]..fr,1.59737
18,$[1:130000]..fr,1.69246
19,$[1:140000]..fr,1.75835
20,$..language,0.79525
