QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$[4000].routes[*].bounds,0.01434
1,$[*].routes[*].legs[*].steps[*].html_instructions,0.49581
2,$[*].routes[*].legs[*].steps[*].distance.text,0.61173
3,$[*].routes[*].legs[*].steps[*].distance,0.53655
4,$[*].routes[*].legs[*].steps[*].maneuver,0.74466
5,$[*].routes[*].legs[*].steps[*].start_location,0.70648
6,$[*].routes[*].legs[*].steps[*].start_location.lat,0.71481
7,$[1:2000].routes[*].legs[*].steps[*].polyline.points,0.31153
8,$[*].routes[*].legs[*].steps[*].duration,0.99144
9,$[*].routes[*].legs[*].steps[*].end_location,1.11747
10,$[1:3000].routes[*].legs[*].steps[*].polyline.points,0.46976
11,$[*].routes[*].legs[*].steps[*],0.86081
12,$[1:4000].routes[*].legs[*].steps[*].polyline.points,0.63274
13,$[*].routes[*].legs[*].steps[*].polyline,0.80464
14,$[*].routes[*].legs[*].steps[*].polyline.points,0.71311
15,$[*].routes[*].legs[*]..lat,0.98251
16,$[*]..bounds,0.97193
