QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$.items[2].resource.primary.URL,0.00595
2,$.items[*].URL,0.06926
3,$.items[*].member,0.08020
4,$.items[*].score,0.08210
5,$.items[*].resource.primary.URL,0.07781
6,$.items[*].issued,0.12008
7,$.items[*].author[*].given,0.16384
8,$.items[*].author[*].family,0.16750
9,$.items[*].author[*].sequence,0.17130
10,$.items[*].author[*],0.15069
11,$.items[*].institution[*].name,0.20884
12,$.items[*].link[*]..URL,0.20023
13,$.items[*].assertion[*]..name,0.21551
14,$.items[*].reference[*].key,0.40265
15,$.items[*].reference[*].author,0.42284
16,$.items[*].reference[*].DOI,0.44043
17,$.items[*].reference[*].year,0.46277
18,$.items[*].reference[*].issue,0.43603
19,$.items[*].reference[*].volume,0.46233
20,$.items[*].reference[*],0.27496
21,$..URL,0.09916
