QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$.items[2].resource.primary.URL,0.01164
2,$.items[*].URL,0.11883
3,$.items[*].member,0.14032
4,$.items[*].score,0.14298
5,$.items[*].resource.primary.URL,0.13709
6,$.items[*].issued,0.20930
7,$.items[*].author[*].given,0.29646
8,$.items[*].author[*].family,0.30321
9,$.items[*].author[*].sequence,0.31070
10,$.items[*].author[*],0.26918
11,$.items[*].institution[*].name,0.39182
12,$.items[*].link[*]..URL,0.37699
13,$.items[*].assertion[*]..name,0.40632
14,$.items[*].reference[*].key,0.79745
15,$.items[*].reference[*].author,0.84432
16,$.items[*].reference[*].DOI,0.87295
17,$.items[*].reference[*].year,0.91682
18,$.items[*].reference[*].issue,0.86587
19,$.items[*].reference[*].volume,0.91518
20,$.items[*].reference[*],0.54678
21,$..URL,0.19608
