JSON,QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
walmart_large_record_(995MB),0,$.category,0.18196
walmart_large_record_(995MB),1,$.items[*].itemId,0.20686
walmart_large_record_(995MB),2,$.items[*].name,0.22004
walmart_large_record_(995MB),3,$.items[*].upc,0.23595
walmart_large_record_(995MB),4,$.items[*].categoryPath,0.24328
walmart_large_record_(995MB),5,$.items[*].salePrice,0.23533
walmart_large_record_(995MB),6,$.items[*].longDescription,0.24831
walmart_large_record_(995MB),7,$.items[*].msrp,0.27179
walmart_large_record_(995MB),8,$.items[*].thumbnailImage,0.26235
walmart_large_record_(995MB),9,$.items[*].mediumImage,0.2664
walmart_large_record_(995MB),10,$.items[*].largeImage,0.27178
walmart_large_record_(995MB),11,$.items[*].productTrackingUrl,0.28191
walmart_large_record_(995MB),12,$.items[*].productUrl,0.31606
walmart_large_record_(995MB),13,$.items[*].addToCartUrl,0.35967
walmart_large_record_(995MB),14,$.items[*].isbn,0.35238
walmart_large_record_(995MB),15,$..category,0.12259
google_map_large_record_(1.1GB),0,$[4000].routes[*].bounds,0.18488
google_map_large_record_(1.1GB),1,$[*].routes[*].legs[*].steps[*].html_instructions,0.42776
google_map_large_record_(1.1GB),2,$[*].routes[*].legs[*].steps[*].distance.text,0.56635
google_map_large_record_(1.1GB),3,$[*].routes[*].legs[*].steps[*].distance,0.49639
google_map_large_record_(1.1GB),4,$[*].routes[*].legs[*].steps[*].maneuver,0.71712
google_map_large_record_(1.1GB),5,$[*].routes[*].legs[*].steps[*].start_location,0.6926
google_map_large_record_(1.1GB),6,$[*].routes[*].legs[*].steps[*].start_location.lat,0.69463
google_map_large_record_(1.1GB),7,$[1:2000].routes[*].legs[*].steps[*].polyline.points,0.41356
google_map_large_record_(1.1GB),8,$[*].routes[*].legs[*].steps[*].duration,0.97824
google_map_large_record_(1.1GB),9,$[*].routes[*].legs[*].steps[*].end_location,1.10017
google_map_large_record_(1.1GB),10,$[1:3000].routes[*].legs[*].steps[*].polyline.points,0.53622
google_map_large_record_(1.1GB),11,$[*].routes[*].legs[*].steps[*],0.82938
google_map_large_record_(1.1GB),12,$[1:4000].routes[*].legs[*].steps[*].polyline.points,0.66198
google_map_large_record_(1.1GB),13,$[*].routes[*].legs[*].steps[*].polyline,0.80083
google_map_large_record_(1.1GB),14,$[*].routes[*].legs[*].steps[*].polyline.points,0.72387
google_map_large_record_(1.1GB),15,$[*].routes[*].legs[*]..lat,0.96419
google_map_large_record_(1.1GB),16,$[*]..bounds,0.94842
bestbuy_large_record_(1GB),1,$.products[4].categoryPath[2],0.17135
bestbuy_large_record_(1GB),2,$.products[*].categoryPath[2],0.31022
bestbuy_large_record_(1GB),3,$.products[*].quantityLimit,0.44158
bestbuy_large_record_(1GB),4,$.products[*].frequentlyPurchasedWith[*],0.33271
bestbuy_large_record_(1GB),5,$.products[*].includedItemList[*],0.3491
bestbuy_large_record_(1GB),6,$.products[*].homeDelivery,0.6858
bestbuy_large_record_(1GB),7,$.products[*].freeShipping,0.78483
bestbuy_large_record_(1GB),8,$.products[*].shipping[*],0.45116
bestbuy_large_record_(1GB),9,$.products[*].shippingLevelsOfService[*].serviceLevelName,0.54869
bestbuy_large_record_(1GB),10,$.products[*].shippingLevelsOfService[*],0.51346
bestbuy_large_record_(1GB),11,$.products[*].dollarSavings,1.12603
bestbuy_large_record_(1GB),12,$.products[*].lengthInMinutes,1.15681
bestbuy_large_record_(1GB),13,$.products[*].screenFormat,1.17525
bestbuy_large_record_(1GB),14,$.products[*].additionalFeatures[*],0.51064
bestbuy_large_record_(1GB),15,$.products[*].videoChapters,1.16688
bestbuy_large_record_(1GB),16,$..freeShipping,0.12953
wiki_large_record_(1.1GB),1,$[0].id,0.21988
wiki_large_record_(1.1GB),2,$[1:1000]..fr,0.22964
wiki_large_record_(1.1GB),3,$[*].labels.*.language,0.48493
wiki_large_record_(1.1GB),4,$[*].labels.*.value,0.40757
wiki_large_record_(1.1GB),5,$[1:10000]..fr,0.38616
wiki_large_record_(1.1GB),6,$[*].*.fr.*,0.62585
wiki_large_record_(1.1GB),7,$[1:20000]..fr,0.54074
wiki_large_record_(1.1GB),8,$[1:30000]..fr,0.66166
wiki_large_record_(1.1GB),9,$[1:40000]..fr,0.78274
wiki_large_record_(1.1GB),10,$[1:50000]..fr,0.9121
wiki_large_record_(1.1GB),11,$[1:60000]..fr,1.01593
wiki_large_record_(1.1GB),12,$[1:70000]..fr,1.1135
wiki_large_record_(1.1GB),13,$[1:80000]..fr,1.22114
wiki_large_record_(1.1GB),14,$[1:90000]..fr,1.31036
wiki_large_record_(1.1GB),15,$[1:100000]..fr,1.38976
wiki_large_record_(1.1GB),16,$[1:110000]..fr,1.4885
wiki_large_record_(1.1GB),17,$[1:120000]..fr,1.58564
wiki_large_record_(1.1GB),18,$[1:130000]..fr,1.67589
wiki_large_record_(1.1GB),19,$[1:140000]..fr,1.74032
wiki_large_record_(1.1GB),20,$..language,0.82051
nspl_large_record_(1.2GB),0,$.meta.view.id,0.18069
nspl_large_record_(1.2GB),1,$.data[0:100000][*],0.34948
nspl_large_record_(1.2GB),2,$.data[0:200000][*],0.39567
nspl_large_record_(1.2GB),3,$.data[0:300000][*],0.44162
nspl_large_record_(1.2GB),4,$.data[0:400000][*],0.48812
nspl_large_record_(1.2GB),5,$.data[0:500000][*],0.53378
nspl_large_record_(1.2GB),6,$.data[0:600000][*],0.57954
nspl_large_record_(1.2GB),7,$.data[0:700000][*],0.62589
nspl_large_record_(1.2GB),8,$.data[0:800000][*],0.67192
nspl_large_record_(1.2GB),9,$.data[0:900000][*],0.7186
nspl_large_record_(1.2GB),10,$.data[0:1000000][*],0.76375
nspl_large_record_(1.2GB),11,$.data[0:1100000][*],0.80988
nspl_large_record_(1.2GB),12,$.data[0:1200000][*],0.85634
nspl_large_record_(1.2GB),13,$.data[0:1300000][*],0.90264
nspl_large_record_(1.2GB),14,$.data[0:1400000][*],0.94889
nspl_large_record_(1.2GB),15,$.data[0:1500000][*],0.9952
nspl_large_record_(1.2GB),16,$.data[0:1600000][*],1.04088
nspl_large_record_(1.2GB),17,$.data[*],0.33835
nspl_large_record_(1.2GB),18,$..id,0.12197
