QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$.items[2].resource.primary.URL,0.19289
2,$.items[*].URL,0.19396
3,$.items[*].member,0.21679
4,$.items[*].score,0.22052
5,$.items[*].resource.primary.URL,0.21486
6,$.items[*].issued,0.29235
7,$.items[*].author[*].given,0.37129
8,$.items[*].author[*].family,0.37983
9,$.items[*].author[*].sequence,0.38763
10,$.items[*].author[*],0.36250
11,$.items[*].institution[*].name,0.44760
12,$.items[*].link[*]..URL,0.43429
13,$.items[*].assertion[*]..name,0.46310
14,$.items[*].reference[*].key,0.78654
15,$.items[*].reference[*].author,0.82884
16,$.items[*].reference[*].DOI,0.86154
17,$.items[*].reference[*].year,0.90690
18,$.items[*].reference[*].issue,0.84701
19,$.items[*].reference[*].volume,0.90464
20,$.items[*].reference[*],0.53004
21,$..URL,0.19836
