JSON,QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
walmart_large_record_(995MB),0,$.category,0.18057
walmart_large_record_(995MB),1,$.items[*].itemId,0.20677
walmart_large_record_(995MB),2,$.items[*].name,0.21989
walmart_large_record_(995MB),3,$.items[*].upc,0.2353
walmart_large_record_(995MB),4,$.items[*].categoryPath,0.24219
walmart_large_record_(995MB),5,$.items[*].salePrice,0.23481
walmart_large_record_(995MB),6,$.items[*].longDescription,0.24722
walmart_large_record_(995MB),7,$.items[*].msrp,0.2697
walmart_large_record_(995MB),8,$.items[*].thumbnailImage,0.26185
walmart_large_record_(995MB),9,$.items[*].mediumImage,0.26594
walmart_large_record_(995MB),10,$.items[*].largeImage,0.27152
walmart_large_record_(995MB),11,$.items[*].productTrackingUrl,0.2811
walmart_large_record_(995MB),12,$.items[*].productUrl,0.31435
walmart_large_record_(995MB),13,$.items[*].addToCartUrl,0.35755
walmart_large_record_(995MB),14,$.items[*].isbn,0.35091
walmart_large_record_(995MB),15,$..category,0.12361
google_map_large_record_(1.1GB),0,$[4000].routes[*].bounds,0.18475
google_map_large_record_(1.1GB),1,$[*].routes[*].legs[*].steps[*].html_instructions,0.42884
google_map_large_record_(1.1GB),2,$[*].routes[*].legs[*].steps[*].distance.text,0.56633
google_map_large_record_(1.1GB),3,$[*].routes[*].legs[*].steps[*].distance,0.49539
google_map_large_record_(1.1GB),4,$[*].routes[*].legs[*].steps[*].maneuver,0.73258
google_map_large_record_(1.1GB),5,$[*].routes[*].legs[*].steps[*].start_location,0.69885
google_map_large_record_(1.1GB),6,$[*].routes[*].legs[*].steps[*].start_location.lat,0.69147
google_map_large_record_(1.1GB),7,$[1:2000].routes[*].legs[*].steps[*].polyline.points,0.41234
google_map_large_record_(1.1GB),8,$[*].routes[*].legs[*].steps[*].duration,0.9965
google_map_large_record_(1.1GB),9,$[*].routes[*].legs[*].steps[*].end_location,1.12251
google_map_large_record_(1.1GB),10,$[1:3000].routes[*].legs[*].steps[*].polyline.points,0.53465
google_map_large_record_(1.1GB),11,$[*].routes[*].legs[*].steps[*],0.85047
google_map_large_record_(1.1GB),12,$[1:4000].routes[*].legs[*].steps[*].polyline.points,0.65965
google_map_large_record_(1.1GB),13,$[*].routes[*].legs[*].steps[*].polyline,0.81348
google_map_large_record_(1.1GB),14,$[*].routes[*].legs[*].steps[*].polyline.points,0.72119
google_map_large_record_(1.1GB),15,$[*].routes[*].legs[*]..lat,0.97249
google_map_large_record_(1.1GB),16,$[*]..bounds,0.97155
bestbuy_large_record_(1GB),1,$.products[4].categoryPath[2],0.17153
bestbuy_large_record_(1GB),2,$.products[*].categoryPath[2],0.24947
