JSON,CUTOFF,QUERY_ID,QUERY_TEXT,SKIP_TIME_NANO_SECONDS
bestbuy_large_record_(1GB),0,1,$.products[4].categoryPath[2],121571699
bestbuy_large_record_(1GB),64,1,$.products[4].categoryPath[2],121571287
bestbuy_large_record_(1GB),128,1,$.products[4].categoryPath[2],121571287
bestbuy_large_record_(1GB),256,1,$.products[4].categoryPath[2],121571287
bestbuy_large_record_(1GB),512,1,$.products[4].categoryPath[2],121571287
bestbuy_large_record_(1GB),1024,1,$.products[4].categoryPath[2],121571287
bestbuy_large_record_(1GB),2048,1,$.products[4].categoryPath[2],121571287
bestbuy_large_record_(1GB),0,2,$.products[*].categoryPath[2],142756651
bestbuy_large_record_(1GB),64,2,$.products[*].categoryPath[2],102868077
bestbuy_large_record_(1GB),128,2,$.products[*].categoryPath[2],102716241
bestbuy_large_record_(1GB),256,2,$.products[*].categoryPath[2],102634487
bestbuy_large_record_(1GB),512,2,$.products[*].categoryPath[2],102634487
bestbuy_large_record_(1GB),1024,2,$.products[*].categoryPath[2],102634487
bestbuy_large_record_(1GB),2048,2,$.products[*].categoryPath[2],102634487
crossref1_(551MB),0,1,$.items[2].resource.primary.URL,65896020
crossref1_(551MB),64,1,$.items[2].resource.primary.URL,65895448
crossref1_(551MB),128,1,$.items[2].resource.primary.URL,65895448
crossref1_(551MB),256,1,$.items[2].resource.primary.URL,65895448
crossref1_(551MB),512,1,$.items[2].resource.primary.URL,65895448
crossref1_(551MB),1024,1,$.items[2].resource.primary.URL,65895448
crossref1_(551MB),2048,1,$.items[2].resource.primary.URL,65893776
crossref1_(551MB),0,2,$.items[*].URL,62665851
crossref1_(551MB),64,2,$.items[*].URL,62665660
crossref1_(551MB),128,2,$.items[*].URL,62665660
crossref1_(551MB),256,2,$.items[*].URL,62665660
crossref1_(551MB),512,2,$.items[*].URL,62665660
crossref1_(551MB),1024,2,$.items[*].URL,61884433
crossref1_(551MB),2048,2,$.items[*].URL,52845384
