QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$.items[2].resource.primary.URL,0.09796
2,$.items[*].URL,0.09870
3,$.items[*].member,0.11062
4,$.items[*].score,0.11247
5,$.items[*].resource.primary.URL,0.10928
6,$.items[*].issued,0.15004
7,$.items[*].author[*].given,0.19076
8,$.items[*].author[*].family,0.19513
9,$.items[*].author[*].sequence,0.19925
10,$.items[*].author[*],0.17815
11,$.items[*].institution[*].name,0.23144
12,$.items[*].link[*]..URL,0.22281
13,$.items[*].assertion[*]..name,0.23787
14,$.items[*].reference[*].key,0.40671
15,$.items[*].reference[*].author,0.42528
16,$.items[*].reference[*].DOI,0.44267
17,$.items[*].reference[*].year,0.46581
18,$.items[*].reference[*].issue,0.43527
19,$.items[*].reference[*].volume,0.46556
20,$.items[*].reference[*],0.27328
21,$..URL,0.09924
