QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$.items[2].resource.primary.URL,0.37391
2,$.items[*].URL,0.37749
3,$.items[*].member,0.42514
4,$.items[*].score,0.43272
5,$.items[*].resource.primary.URL,0.41969
6,$.items[*].issued,0.58175
7,$.items[*].author[*].given,0.73514
8,$.items[*].author[*].family,0.75166
9,$.items[*].author[*].sequence,0.76761
10,$.items[*].author[*],0.68718
11,$.items[*].institution[*].name,0.90414
12,$.items[*].link[*]..URL,0.87273
13,$.items[*].assertion[*]..name,0.92761
14,$.items[*].reference[*].key,1.53421
15,$.items[*].reference[*].author,1.61814
16,$.items[*].reference[*].DOI,1.67425
17,$.items[*].reference[*].year,1.76177
18,$.items[*].reference[*].issue,1.65284
19,$.items[*].reference[*].volume,1.75610
20,$.items[*].reference[*],1.05220
21,$..URL,0.38599
