QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$.items[2].resource.primary.URL,0.00000
2,$.items[*].URL,0.02307
3,$.items[*].member,0.03635
4,$.items[*].score,0.03468
5,$.items[*].resource.primary.URL,0.07431
6,$.items[*].issued,0.03376
7,$.items[*].author[*].given,0.10336
8,$.items[*].author[*].family,0.10189
9,$.items[*].author[*].sequence,0.10978
10,$.items[*].author[*],0.04840
11,$.items[*].institution[*].name,0.03400
12,$.items[*].link[*]..URL,0.09198
13,$.items[*].assertion[*]..name,0.04711
14,$.items[*].reference[*].key,0.25005
15,$.items[*].reference[*].author,0.20708
16,$.items[*].reference[*].DOI,0.22156
17,$.items[*].reference[*].year,0.24253
18,$.items[*].reference[*].issue,0.20556
19,$.items[*].reference[*].volume,0.23488
20,$.items[*].reference[*],0.05377
21,$..URL,0.80988
