QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$.items[2].resource.primary.URL,0.00000
2,$.items[*].URL,0.13137
3,$.items[*].member,0.16567
4,$.items[*].score,0.16546
5,$.items[*].resource.primary.URL,0.35489
6,$.items[*].issued,0.15339
7,$.items[*].author[*].given,0.42411
8,$.items[*].author[*].family,0.42384
9,$.items[*].author[*].sequence,0.45032
10,$.items[*].author[*],0.22816
11,$.items[*].institution[*].name,0.15532
12,$.items[*].link[*]..URL,0.38930
13,$.items[*].assertion[*]..name,0.19382
14,$.items[*].reference[*].key,0.98619
15,$.items[*].reference[*].author,0.81048
16,$.items[*].reference[*].DOI,0.85230
17,$.items[*].reference[*].year,0.93962
18,$.items[*].reference[*].issue,0.79802
19,$.items[*].reference[*].volume,0.91125
20,$.items[*].reference[*],0.25258
21,$..URL,3.11949
