QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$[4000].routes[*].bounds,0.00000
1,$[*].routes[*].legs[*].steps[*].html_instructions,0.43606
2,$[*].routes[*].legs[*].steps[*].distance.text,0.67619
3,$[*].routes[*].legs[*].steps[*].distance,0.27722
4,$[*].routes[*].legs[*].steps[*].maneuver,0.52015
5,$[*].routes[*].legs[*].steps[*].start_location,0.58383
6,$[*].routes[*].legs[*].steps[*].start_location.lat,0.99039
7,$[1:2000].routes[*].legs[*].steps[*].polyline.points,0.41037
8,$[*].routes[*].legs[*].steps[*].duration,0.33592
9,$[*].routes[*].legs[*].steps[*].end_location,0.37427
10,$[1:3000].routes[*].legs[*].steps[*].polyline.points,0.63233
11,$[*].routes[*].legs[*].steps[*],0.00832
12,$[1:4000].routes[*].legs[*].steps[*].polyline.points,0.86094
13,$[*].routes[*].legs[*].steps[*].polyline,0.56703
14,$[*].routes[*].legs[*].steps[*].polyline.points,0.97201
15,$[*].routes[*].legs[*]..lat,1.61555
16,$[*]..bounds,1.43616
