QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$.meta.view.id,0.00000
1,$.data[0:100000][*],0.03323
2,$.data[0:200000][*],0.06620
3,$.data[0:300000][*],0.09967
4,$.data[0:400000][*],0.13254
5,$.data[0:500000][*],0.16585
6,$.data[0:600000][*],0.19884
7,$.data[0:700000][*],0.23214
8,$.data[0:800000][*],0.26581
9,$.data[0:900000][*],0.29878
10,$.data[0:1000000][*],0.33169
11,$.data[0:1100000][*],0.36509
12,$.data[0:1200000][*],0.39751
13,$.data[0:1300000][*],0.43092
14,$.data[0:1400000][*],0.46494
15,$.data[0:1500000][*],0.49769
16,$.data[0:1600000][*],0.53083
17,$.data[*],0.00444
18,$..id,1.67719
