QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$[*].user..url.*,0.31279
2,$[1:150000]..user,1.06035
3,$[1:140000]..user,0.98898
4,$[1:130000]..user,0.91974
5,$[1:120000]..user,0.85050
6,$[1:110000]..user,0.78074
7,$[1:100000]..user,0.71014
8,$[1:90000]..user,0.64532
9,$[1:80000]..user,0.57519
10,$[1:70000]..user,0.50413
11,$[1:60000]..user,0.43323
12,$[1:50000]..user,0.35968
13,$[1:40000]..user,0.28655
14,$[1:30000]..user,0.21331
15,$[1:20000]..user,0.14080
16,$[1:10000]..user,0.06895
17,$[*].user.profile_sidebar_border_color,0.15026
18,$[*].user.profile_image_url_https,0.14265
19,$[*].retweeted_status.filter_level,0.10961
20,$[*].retweeted_status.user.name,0.16389
21,$[*].user.created_at,0.12414
22,$[*].retweeted_status.id,0.09385
23,$[*].user.screen_name,0.14282
24,$[*].source,0.05971
25,$[*].id,0.04507
26,$[*].geo,0.02414
27,$[*].retweeted_status[*],0.15925
28,$[*]..id,1.17842
200,$[*].entities..symbols[*],0.24124
201,$[*].entities..url,0.23745
202,$[*].entities.symbols[*],0.10258
203,$[*].entities.symbols[1],0.10256
204,$[*].entities.urls[*].display_url,0.13736
205,$[*].timestamp_ms,0.06979
