QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$.category,0.00000
1,$.items[*].itemId,0.10578
2,$.items[*].name,0.09142
3,$.items[*].upc,0.12988
4,$.items[*].categoryPath,0.10689
5,$.items[*].salePrice,0.09314
6,$.items[*].longDescription,0.12315
7,$.items[*].msrp,0.08423
8,$.items[*].thumbnailImage,0.12673
9,$.items[*].mediumImage,0.09724
10,$.items[*].largeImage,0.11341
11,$.items[*].productTrackingUrl,0.11588
12,$.items[*].productUrl,0.11515
13,$.items[*].addToCartUrl,0.06612
14,$.items[*].isbn,0.07119
15,$..category,0.35365
