QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$[0].id,0.00000
2,$[1:1000]..fr,0.04290
3,$[*].labels.*.language,0.52618
4,$[*].labels.*.value,0.51888
5,$[1:10000]..fr,0.31358
6,$[*].*.fr.*,0.25788
7,$[1:20000]..fr,0.58926
8,$[1:30000]..fr,0.81119
9,$[1:40000]..fr,1.02750
10,$[1:50000]..fr,1.25616
11,$[1:60000]..fr,1.44366
12,$[1:70000]..fr,1.62177
13,$[1:80000]..fr,1.81305
14,$[1:90000]..fr,1.97031
15,$[1:100000]..fr,2.11408
16,$[1:110000]..fr,2.29524
17,$[1:120000]..fr,2.46935
18,$[1:130000]..fr,2.63196
19,$[1:140000]..fr,2.74024
20,$..language,3.09454
