QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$.items[2].resource.primary.URL,0.00498
2,$.items[*].URL,0.03435
3,$.items[*].member,0.05514
4,$.items[*].score,0.05798
5,$.items[*].resource.primary.URL,0.04819
6,$.items[*].issued,0.10847
7,$.items[*].author[*].given,0.17162
8,$.items[*].author[*].family,0.17622
9,$.items[*].author[*].sequence,0.18156
10,$.items[*].author[*],0.15431
11,$.items[*].institution[*].name,0.23462
12,$.items[*].link[*]..URL,0.22177
13,$.items[*].assertion[*]..name,0.24147
14,$.items[*].reference[*].key,0.48822
15,$.items[*].reference[*].author,0.49765
16,$.items[*].reference[*].DOI,0.50644
17,$.items[*].reference[*].year,0.53744
18,$.items[*].reference[*].issue,0.49314
19,$.items[*].reference[*].volume,0.53950
20,$.items[*].reference[*],0.33239
21,$..URL,0.09891
