QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$[4000].routes[*].bounds,0.01074
1,$[*].routes[*].legs[*].steps[*].html_instructions,0.49097
2,$[*].routes[*].legs[*].steps[*].distance.text,0.58939
3,$[*].routes[*].legs[*].steps[*].distance,0.60197
4,$[*].routes[*].legs[*].steps[*].maneuver,0.90447
5,$[*].routes[*].legs[*].steps[*].start_location,0.86763
6,$[*].routes[*].legs[*].steps[*].start_location.lat,0.79311
7,$[1:2000].routes[*].legs[*].steps[*].polyline.points,0.43615
8,$[*].routes[*].legs[*].steps[*].duration,1.24159
9,$[*].routes[*].legs[*].steps[*].end_location,1.41826
10,$[1:3000].routes[*].legs[*].steps[*].polyline.points,0.66880
11,$[*].routes[*].legs[*].steps[*],1.09965
12,$[1:4000].routes[*].legs[*].steps[*].polyline.points,0.90563
13,$[*].routes[*].legs[*].steps[*].polyline,1.13602
14,$[*].routes[*].legs[*].steps[*].polyline.points,1.02704
15,$[*].routes[*].legs[*]..lat,0.96893
16,$[*]..bounds,0.96951
