QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$.items[2].resource.primary.URL,0.00973
2,$.items[*].URL,0.10761
3,$.items[*].member,0.13635
4,$.items[*].score,0.13993
5,$.items[*].resource.primary.URL,0.13290
6,$.items[*].issued,0.23227
7,$.items[*].author[*].given,0.34310
8,$.items[*].author[*].family,0.34497
9,$.items[*].author[*].sequence,0.34971
10,$.items[*].author[*],0.30921
11,$.items[*].institution[*].name,0.44177
12,$.items[*].link[*]..URL,0.43331
13,$.items[*].assertion[*]..name,0.45814
14,$.items[*].reference[*].key,0.98457
15,$.items[*].reference[*].author,0.98582
16,$.items[*].reference[*].DOI,0.98377
17,$.items[*].reference[*].year,1.00422
18,$.items[*].reference[*].issue,0.93700
19,$.items[*].reference[*].volume,0.96999
20,$.items[*].reference[*],0.58190
21,$..URL,0.19480
