QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$[4000].routes[*].bounds,0.01185
1,$[*].routes[*].legs[*].steps[*].html_instructions,0.44776
2,$[*].routes[*].legs[*].steps[*].distance.text,0.58630
3,$[*].routes[*].legs[*].steps[*].distance,0.51501
4,$[*].routes[*].legs[*].steps[*].maneuver,0.74198
5,$[*].routes[*].legs[*].steps[*].start_location,0.70900
6,$[*].routes[*].legs[*].steps[*].start_location.lat,0.71310
7,$[1:2000].routes[*].legs[*].steps[*].polyline.points,0.31734
8,$[*].routes[*].legs[*].steps[*].duration,1.00280
9,$[*].routes[*].legs[*].steps[*].end_location,1.13457
10,$[1:3000].routes[*].legs[*].steps[*].polyline.points,0.47977
11,$[*].routes[*].legs[*].steps[*],0.86966
12,$[1:4000].routes[*].legs[*].steps[*].polyline.points,0.64695
13,$[*].routes[*].legs[*].steps[*].polyline,0.82351
14,$[*].routes[*].legs[*].steps[*].polyline.points,0.72940
15,$[*].routes[*].legs[*]..lat,0.96804
16,$[*]..bounds,0.96943
