QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$.meta.view.id,0.01095
1,$.data[0:100000][*],0.50023
2,$.data[0:200000][*],0.53816
3,$.data[0:300000][*],0.57879
4,$.data[0:400000][*],0.61843
5,$.data[0:500000][*],0.65436
6,$.data[0:600000][*],0.68989
7,$.data[0:700000][*],0.72514
8,$.data[0:800000][*],0.76047
9,$.data[0:900000][*],0.79569
10,$.data[0:1000000][*],0.83129
11,$.data[0:1100000][*],0.86632
12,$.data[0:1200000][*],0.90140
13,$.data[0:1300000][*],0.93603
14,$.data[0:1400000][*],0.97072
15,$.data[0:1500000][*],1.00505
16,$.data[0:1600000][*],1.03830
17,$.data[*],0.34588
18,$..id,0.12177
