QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$[*].user..url.*,0.12074
2,$[1:150000]..user,0.79439
3,$[1:140000]..user,0.74862
4,$[1:130000]..user,0.70370
5,$[1:120000]..user,0.65922
6,$[1:110000]..user,0.61510
7,$[1:100000]..user,0.56880
8,$[1:90000]..user,0.52579
9,$[1:80000]..user,0.48204
10,$[1:70000]..user,0.43545
11,$[1:60000]..user,0.38906
12,$[1:50000]..user,0.34087
13,$[1:40000]..user,0.29213
14,$[1:30000]..user,0.24258
15,$[1:20000]..user,0.19428
16,$[1:10000]..user,0.14688
17,$[*].user.profile_sidebar_border_color,0.21076
18,$[*].user.profile_image_url_https,0.22652
19,$[*].retweeted_status.filter_level,0.27652
20,$[*].retweeted_status.user.name,0.22001
21,$[*].user.created_at,0.20438
22,$[*].retweeted_status.id,0.21290
23,$[*].user.screen_name,0.18875
24,$[*].source,0.13397
25,$[*].id,0.11236
26,$[*].geo,0.18723
27,$[*].retweeted_status[*],0.27146
28,$[*]..id,0.80767
200,$[*].entities..symbols[*],0.23659
201,$[*].entities..url,0.26893
202,$[*].entities.symbols[*],0.23801
203,$[*].entities.symbols[1],0.23438
204,$[*].entities.urls[*].display_url,0.23591
205,$[*].timestamp_ms,0.25701
